_id,Name,Name2,email,Online,FAX,Telephone,Telephone2,Address,City,State,ZIP,Notes,LastUpdated
687c10f5e7e9fed8c4bd828c,ALLIANCE MORTGAGE CO,ISAOA/ATIMA,,,,,,PO Box 2139,Jacksonville,Fl,26267,Mortgagee,2020-01-01 0:00
687c10f5e7e9fed8c4bd82af,ANDREWS FEDERAL CREDIT UNION,ISAOA,,,855-640-4865,,,PO BOX 961292,FORT WORTH,TX,76161-0292,,2020-01-01 0:00
687c10f5e7e9fed8c4bd82b8,ASTORIA FEDERAL SAVINGS AND LOAN,ISAOA / ATIMA,,,561-535-8103,800-430-9944,,P.O. BOX 57046,IRVINE,CA,92619-7046,,2020-01-01 0:00
687c10f5e7e9fed8c4bd82c9,"BANK OF AMERICA, NA #744",ISAOA/ATIMA,,,,,,P.O. Box 57060,Irvine,CA,92619-7060,Mortgagee,2020-01-01 0:00
687c10f5e7e9fed8c4bd82d7,BECU,,,,,,,PO BOX 202028,FLORENCE,SC,29502,Mortgagee,2020-01-01 0:00
687c10f5e7e9fed8c4bd82e0,BNC MORTGAGE INC,ISAOA/ATIMA,,,,,,PO Box 19656,Irvine,CA,92623-9656,Mortgagee,2020-01-01 0:00
687c10f5e7e9fed8c4bd82f7,"CAPITAL ONE, N.A.",ISAOA / ATIMA,,,843-413-7194,800-933-9100,,P.O. BOX 100595,FLORENCE,SC,29502-0595,,2020-01-01 0:00
687c10f5e7e9fed8c4bd8306,CENTURY 21 MORTGAGE,ISAOA,,,,,,P.O. BOX 5954,SPRINGFIELD,OH,45501,,2020-01-01 0:00
687c10f5e7e9fed8c4bd8313,CHURCHILL MORTGAGE CORPORATION,ISAOA / ATIMA,,,615-469-3282,615-730-8888,,"761 OLD HICKORY BLVD., SUITE 400",BRENTWOOD,TN,37027,,2020-01-01 0:00
687c10f5e7e9fed8c4bd831a,CITIBANK,ISAOA,,,937-324-6577,800-869-8683,,P.O. BOX 7807,SPRINGFIELD,OH,45501-7807,,2020-01-01 0:00
687c10f5e7e9fed8c4bd8325,CITIZENS STATE BANK MIDWEST,"PO Box 1250Bemidji, MN 56619",,,,,,1060 Paul Bunyan Dr NW,Bemidji,MN,56601,"Loss Payee, Mortgagee",2020-01-01 0:00
687c10f5e7e9fed8c4bd833e,CREDIT UNION OF TEXAS,,,,800-709-4820,800-314-3828,,,,,,Mortgagee,2020-01-01 0:00
687c10f5e7e9fed8c4bd836a,FBC MORTGAGE LLC,ISAOA,,,407872-3383,866-413-2563,,"189 SOUTH ORANGE AVENUE, SUITE 970",ORLANDO,FL,32801,,2020-01-01 0:00
687c10f5e7e9fed8c4bd8371,FIGURE LENDING LLC,ISAOA ATIMA,,https://www.myinsuranceinfo.com/,,800-998-0762,,PO BOX 2095,Carmel,IN,46082,,2020-01-01 0:00
687c10f5e7e9fed8c4bd8372,FINANCE OF AMERICA MORTGAGE LLC,,,,,,,PO BOX 99593,BELLEVUE,WA,98009,Mortgagee,2020-01-01 0:00
687c10f5e7e9fed8c4bd837e,FIRST FEDERAL BANK OF LOUISIANA,ISAOA/ATIMA,,,,337-433-3611,,PO BOX 1667,Lake Charles,LA,70602,Mortgagee,2020-01-01 0:00
687c10f5e7e9fed8c4bd8384,FIRST NATIONAL BANK BAGLEY,"PO Box NBagley, MN 56621",,,,,,,,,,Loss Payee,2020-01-01 0:00
687c10f5e7e9fed8c4bd8395,FLEET MORTGAGE CORPORATION,ISAOA/ATIMA,,,,,,P.O. Box 100562,Florence,SC,29501-0562,Mortgagee,2020-01-01 0:00
687c10f5e7e9fed8c4bd83a1,GECU,,,,,,,PO BOX 981529,EL PASO,TX,79998,Mortgagee,2020-01-01 0:00
687c10f5e7e9fed8c4bd83bf,HANCOCK BANK,,,,949-465-7253,866-242-7514,,P.O. BOX 57046,IRVINE,CA,92619-7046,,2020-01-01 0:00
687c10f5e7e9fed8c4bd83ee,JPMORGAN CHASE BANK NA,ISAOA/ATIMA,,https://mci3.mycoverageinfo.com/mci3/www/pages/views/Index.htm#/PolicyUpdate,678-475-8733,877-530-8951,,PO Box 100564,Florence,SC,29502-0564,Also known as Chase Manhatten Home Mortgage and Chase Home FinanceMortgagee,2020-01-01 0:00
687c10f5e7e9fed8c4bd83fc,"LIBERTY SAVINGS BANK, FSB",ISAOA / ATIMA,,,937-283-0104,937-382-1000,,P.O. BOX 1000,WILMINGTON,OH,45177-1000,,2020-01-01 0:00
687c10f5e7e9fed8c4bd8406,M & T BANK,ISAOA,,https://mycoverageinfo.com/mtb,937-525-4125,888-882-1847,,P.O. BOX 5738,SPRINGFIELD,OH,45501-5738,,2020-01-01 0:00
687c10f5e7e9fed8c4bd8414,"MGC MORTGAGE, INC.",ISAOA,insurancedepartment@ihaveinsurance.com,,949-465-7253,866-242-7514,,P.O. BOX 57046,IRVINE,CA,92619-7046,,2020-01-01 0:00
687c10f5e7e9fed8c4bd8422,MITSUBISHI MOTOR CREDIT,"PO Box 24020Tucson, AZ 85734",,,,,,,,,,Loss Payee,2020-01-01 0:00
687c10f5e7e9fed8c4bd8424,MORTGAGE CLEARING CORPORATION,,,,,,,PO BOX 702100,TULSA,OK,74170,Mortgagee,2020-01-01 0:00
687c10f5e7e9fed8c4bd842b,MOUNTAIN AMERICA CREDIT UNION,,,,,,,PO BOX 961292,FT WORTH,TX,76161,Mortgagee,2020-01-01 0:00
687c10f5e7e9fed8c4bd843d,NEIGHBORS FCU,,,,855-640-4865,225-819-4849,,,,,,Mortgagee,2020-01-01 0:00
687c10f5e7e9fed8c4bd8445,"NEW REZ MORTGAGE, LLC",ISAOA/ATIMA,insdocs@myinsuranceportal.com,,248-878-2370,877-491-7277,,PO BOX 7050,Troy,,,Mortgagee,2025-08-22 10:36
687c10f5e7e9fed8c4bd845b,OMNI,,,,,800-777-6664,,,,,,Mortgagee,2020-01-01 0:00
687c10f5e7e9fed8c4bd8465,PARKSIDE LENDING LLC ISAOA,,,,,,,PO BOX 202028,FLORENCE,SC,29502,Mortgagee,2020-01-01 0:00
687c10f5e7e9fed8c4bd827f,21ST MORTGAGE CORPORATION,ISAOA ATIMA,insurancetracking@21stmortgage.com,https://www.21stmortgage.com/web/21stsite.nsf/contactus,,800-955-0021,,PO BOX 477,KNOXVILLE,TN,37901-0477,,2020-01-01 0:00
687c10f5e7e9fed8c4bd8282,AAMES HOME LOAN INC.,ISAOA/ATIMA,,,,,,PO Box 57093,Irvine,CA,92619-7093,Mortgagee,2020-01-01 0:00
687c10f5e7e9fed8c4bd8284,ACADEMY MORTGAGE CORPORATION,ISAOA/ATIMA,,,843-413-7133,,,PO BOX 202028,FLORENCE,SC,29502,Mortgagee,2020-01-01 0:00
